	en	fr	pt	es	it	ru	sv	de	is	hu	eo	et
language_name	English	Français	Português	Español	Italiano	русский	svenska	Deutsch	Íslenska	magyar	Esperanto	Eesti
language_translator_credit	English text by Adam Le Doux	Version française par Peter Februar & Dorian Beaugendre	Versão portuguesa por Bruno Silva	Versión española por Marina Díez (@Ninfa_dp)	Versione italiana a cura di Marina Díez (@Ninfa_dp)	на русский перевели онион (@le_american) и элки (@vinvirinvi)	Svensk översättning av Em (@Embotronic)	Deutsche Übersetzung von Kai Werder und Matthias Löwe	Íslensk þýðing eftir Game Makers Iceland	magyar változat: Török Ádám (@gepember)	Esperanta versio de Ariel J Moody/Bonkorpa	Eesti keele tõlge: @scumslug
bitsy_title	Bitsy	Bitsy	Bitsy	Bitsy	Bitsy	Битси	Bitsy	Bitsy	Bitsy	Bitsy	Bitsy	Bitsy
tools_label	tools	outils	ferramentas	Herramientas	Utensili	панель инструментов	verktyg	Werkzeuge	tól	eszközök	iloj	tööriistad
author_by	by	par	de	por	a cura di	от	av	von	eftir	készítette:	de	autor:
author_twitter	@adamledoux	@adamledoux	@adamledoux	@adamledoux	@adamledoux	@adamledoux	@adamledoux	@adamledoux	@adamledoux	@adamledoux	@adamledoux	@adamledoux
about_tool_name	about	à propos	sobre	sobre	su	о битси	info	Über	upplýsingar	a bitsyről	pri	bitsy kohta
room_tool_name	room	salle	sala	room	room	пространство	rum	Räume	rými	szoba	ĉambro	tuba
exits_tool_name	exits	sorties	saídas	salidas	uscite	точки выхода	utgång	Ausgänge	útgangar	kijáratok	elirejoj	väljapääsud
endings_tool_name	endings	fins	finais	finales	finali	концовки	slut	Enden	endar	befejezések	finoj	lõpud
paint_tool_name	paint	dessin	desenhar	dibujar	disegnare	рисовать	rita	Zeichnen	teikna	rajz	pentri	joonista
explorer_tool_name	find drawing	trouver un dessin	procurar desenho	buscar dibujo	cercare disegno	найти рисунок	hitta bilder	Alle Zeichnungen	teikningar	rajz keresése	trovi pentraĵon	otsi joonistusi
palette_tool_name	colors	couleurs	cores	colores	colori	цвета	färger	Faben	litaval	színek	koloroj	värvid
dialog_tool_name	dialog	dialogue	diálogo	diálogo	dialogo	диалог	dialog	Dialoge	samtöl	párbeszéd	dialogo	dialoog
inventory_tool_name	inventory	inventaire	inventário	inventario	inventario	инвентарь	inventarie	Inventar	taska	tárgyak	objektaro	varustus
download_tool_name	download	télécharger	descarregar	descargar	scaricare	скачать	ladda ned	Herunterladen	niðurhal	letöltés	elŝuti	lae alla
